MovieName	imdbid
Star Wars: Episode IV - A New Hope	76759
Star Wars: Episode I - The Phantom Menace	120915
Star Wars: Episode II - Attack of the Clones	121765
Star Wars: Episode III - Revenge of the Sith	121766
Star Wars: Episode V - The Empire Strikes Back	80684
Star Wars: Episode VI - Return of the Jedi	86190
Star Wars: The Force Awakens	2488496
Star Wars: The Clone Wars	1185834
"Star Wars: The Clone Wars" Sacrifice	3473262
"Star Wars: The Clone Wars" R2 Come Home	1626032
"Star Wars: The Clone Wars" Brain Invaders	1555788
"Star Wars: The Clone Wars" Clone Cadets	1707609
"Star Wars: The Clone Wars" Holocron Heist	1517137
"Star Wars: The Clone Wars" Cloak of Darkness	1322837
"Star Wars: The Clone Wars" Ambush	1288767
"Star Wars: The Clone Wars" Conspiracy	3473222
"Star Wars: The Clone Wars" Innocents of Ryloth	1380660
"Star Wars: The Clone Wars" The Mandalore Plot	1558188
"Star Wars: The Clone Wars" Duchess of Mandalore	1558190
"Star Wars: The Clone Wars" Destroy Malevolence	1292833
"Star Wars: The Clone Wars" Rookies	1292835
"Star Wars: The Clone Wars" Downfall of a Droid	1292834
"Star Wars: The Clone Wars" Corruption	1707626
"Star Wars: The Clone Wars" Duel of the Droids	1320037
"Star Wars: The Clone Wars" Bombad Jedi	1322836
"Star Wars: The Clone Wars" Dooku Captured	1322835
"Star Wars: The Clone Wars" The Unknown	3473218
"Star Wars: The Clone Wars" Lair of Grievous	1322834
"Star Wars: The Clone Wars" The Gungan General	1345675
"Star Wars: The Clone Wars" Jedi Crash	1345254
"Star Wars: The Clone Wars" Blue Shadow Virus	1371607
"Star Wars: The Clone Wars" Defenders of Peace	1345253
"Star Wars: The Clone Wars" Trespass	1345740
"Star Wars: The Clone Wars" The Hidden Enemy	1371608
"Star Wars: The Clone Wars" Death Trap	1626030
"Star Wars: The Clone Wars" The Lost One	3473256
"Star Wars: The Clone Wars" Destiny	3473260
"Star Wars: The Clone Wars" Hostage Crisis	1380659
"Star Wars: The Clone Wars" Fugitive	3473226
"Star Wars: The Clone Wars" Voices	3473258
"Star Wars: The Clone Wars" Mystery of a Thousand Moons	1380663
"Star Wars: The Clone Wars" Senate Murders	1558191
"Star Wars: The Clone Wars" Orders	3473230
"Star Wars: The Clone Wars" Cargo of Doom	1517135
"Star Wars: The Clone Wars" ARC Troopers	1707620
"Star Wars: The Clone Wars" An Old Friend	3473232
"Star Wars: The Clone Wars" Crisis at the Heart	3473242
"Star Wars: The Clone Wars" The Disappeared: Part 1	3473254
"Star Wars: The Clone Wars" Storm Over Ryloth	1380664
"Star Wars: The Clone Wars" Cat and Mouse	1558192
"Star Wars: The Clone Wars" The Rise of Clovis	3473238
"Star Wars: The Clone Wars" Children of the Force	1517136
"Star Wars: The Clone Wars" Landing at Point Rain	1535506
"Star Wars: The Clone Wars" The Disappeared: Part 2	3473250
"Star Wars: The Clone Wars" Liberty on Ryloth	1380662
"Star Wars: The Clone Wars" Weapons Factory	1541414
"Star Wars: The Clone Wars" Legacy of Terror	1555789
"Star Wars: The Clone Wars" Grievous Intrigue	1558193
"Star Wars: The Clone Wars" Ghosts of Mortis	1707617
"Star Wars: The Clone Wars" Rising Malevolence	1288768
"Star Wars: The Clone Wars" Senate Spy	1531365
"Star Wars: The Clone Wars" Supply Lines	1707624
"Star Wars: The Clone Wars" Shadow of Malevolence	1292836
"Star Wars: The Clone Wars" Lightsaber Lost	1558187
"Star Wars: The Clone Wars" Bounty Hunters	1618280
"Star Wars: The Clone Wars" Sphere of Influence	1707625
"Star Wars: The Clone Wars" Overlords	1707615
"Star Wars: The Clone Wars" The Deserter	1558186
"Star Wars: The Clone Wars" The Zillo Beast	1626033
"Star Wars: The Clone Wars" The Academy	1707627
"Star Wars: The Clone Wars" Assassin	1707628
"Star Wars: The Clone Wars" Nightsisters	1707612
"Star Wars: The Clone Wars" Padawan Lost	1707622
"Star Wars: The Clone Wars" Hunt for Ziro	1707630
"Star Wars: The Clone Wars" Monster	1707613
"Star Wars: The Clone Wars" The Citadel	1707618
"Star Wars: The Clone Wars" Counter Attack	1707619
"Star Wars: The Clone Wars" Citadel Rescue	1707621
"Star Wars: The Clone Wars" Voyage of Temptation	1558189
"Star Wars: The Clone Wars" Heroes on Both Sides	1707610
"Star Wars: The Clone Wars" Pursuit of Peace	1707611
"Star Wars: The Clone Wars" Witches of the Mist	1707614
"Star Wars: The Clone Wars" Altar of Mortis	1707616
"Star Wars: The Clone Wars" Wookiee Hunt	1707623
"Star Wars: The Clone Wars" Evil Plans	1707629
"Star Wars: The Clone Wars" The Zillo Beast Strikes Back	1626034
"Star Wars: The Clone Wars" Lethal Trackdown	1626031
Rogue One	3748528
Temporary for Detection	1996307372
